id,submitted_at,raised_date,type,severity,defect_category,part_code,part,customer,lot_qty,defect_qty,rejection_pct,description,root_cause,why_why,corrective_action,preventive_action,stage,created_by,approved_by
CAPA-2026-0014,2026-08-20T11:57:36.371Z,Wed Aug 19 2026 00:00:00 GMT+0530 (India Standard Time),Internal,Major,Crack,valve,valve,,50,10,20,crack,Incomplete weld penetration at joint,Crack after vibration | Stress concentration at weld toe | Low penetration | Weld parameter drift,Re-weld with qualified WPS; NDT sample lot,Lock weld parameters; weekly WPS audit,Open,vivin@sfwtechnologies.com,2790a52b-f051-4334-9271-b81cbe8e6856
CAPA-2026-0019,2026-08-20T12:22:22.889Z,Wed Aug 19 2026 00:00:00 GMT+0530 (India Standard Time),Internal,Major,Shrinkage,in_019,boilerplate,,50000,896,1.79,boilerplate,Gas entrapment from moisture in mold sand,Porosity after machine | Gas pockets | Moisture in sand | Dryer cycle missed,Scrap porous lots; dry sand batch; machine remaining OK pieces,Moisture SPC on sand; dryer interlock,Open,vivin@sfwtechnologies.com,2790a52b-f051-4334-9271-b81cbe8e6856
CAPA-2026-0018,2026-08-20T12:27:03.858Z,Wed Aug 19 2026 00:00:00 GMT+0530 (India Standard Time),Internal,Major,Dimensional Deviation,material,material,,1000,70,7,material,Worn insert + missing first-piece verification,OD oversized | Insert wear | No mid-shift tool change rule | FAI skipped on tool change,"Replace insert, rework salvageable parts, retrain operator",Tool-life counter alarm; mandatory FAI after insert change,Open,vivin@sfwtechnologies.com,2790a52b-f051-4334-9271-b81cbe8e6856
CAPA-2026-0008,2026-08-20T12:43:14.308Z,Wed Aug 19 2026 00:00:00 GMT+0530 (India Standard Time),Internal,Major,Contamination,001,machine,,1000,95,9.5,machine,Gas entrapment from moisture in mold sand,Porosity after machine | Gas pockets | Moisture in sand | Dryer cycle missed,Scrap porous lots; dry sand batch; machine remaining OK pieces,Moisture SPC on sand; dryer interlock,Open,stanly.raj@sfwtechnologies.com,2790a52b-f051-4334-9271-b81cbe8e6856
CAPA-2026-0009,2026-08-20T13:10:22.607Z,Wed Aug 19 2026 00:00:00 GMT+0530 (India Standard Time),Internal,Major,Leakage,In_001,valve,,1000,80,8,defect in valve,O-ring groove undersize after CNC finish pass,Leak at seat interface | Compression set insufficient | Groove diameter below print | Tool offset drift not caught in FAI,"Reset CNC offset, quarantine lot, 100% pressure retest",Add groove OD check to in-process SPC; update control plan,Open,stanly.raj@sfwtechnologies.com,2790a52b-f051-4334-9271-b81cbe8e6856
CAPA-2026-0010,2026-08-21T05:17:43.021Z,Thu Aug 20 2026 00:00:00 GMT+0530 (India Standard Time),Supplier,Critical,Surface Finish,S_0012,Valve,Test1,1000,250,25,major crack,Inadequate pre-clean before plating bath,Peel at assembly | Poor adhesion | Contamination | Pre-clean time cut,Reject lot; supplier replate with full cycle,Require bath log with each shipment,Open,stanly.raj@sfwtechnologies.com,2790a52b-f051-4334-9271-b81cbe8e6856
CAPA-2026-0021,2026-08-21T12:41:07.416Z,Thu Aug 20 2026 00:00:00 GMT+0530 (India Standard Time),Supplier,Major,Crack,10233,Valve,Test_10,50000,250,0.5,crack in valve,Ejection force too high while casting hot,Crack near boss | Mechanical stress | Early ejection | Cooling timer bypassed,Scrap affected; supplier adjust cooling timer,Lock cooling recipe; audit supplier process,Open,stanly.raj@sfwtechnologies.com,2790a52b-f051-4334-9271-b81cbe8e6856
CAPA-2026-0022,2026-08-21T12:41:35.728Z,Fri Aug 21 2026 00:00:00 GMT+0530 (India Standard Time),Internal,Major,Crack,123455,valve,,250000,562,0.22,crack on valve,Incomplete weld penetration at joint,Crack after vibration | Stress concentration at weld toe | Low penetration | Weld parameter drift,Re-weld with qualified WPS; NDT sample lot,Lock weld parameters; weekly WPS audit,Open,stanly.raj@sfwtechnologies.com,2790a52b-f051-4334-9271-b81cbe8e6856
CAPA-2026-0034,2026-08-24T13:30:09.571Z,Mon Aug 24 2026 00:00:00 GMT+0530 (India Standard Time),Supplier,Major,Leakage,t100,t100,t100,1000,5,0.5,t100,Wrong durometer O-ring shipped,Leak on test | Seal compression wrong | Material mix-up | Incoming ID not verified,Replace seals; quarantine remaining boxes,Incoming durometer spot check; barcode part verification,Open,vivin@sfwtechnologies.com,2790a52b-f051-4334-9271-b81cbe8e6856
CAPA-2026-0042,2026-08-26T05:07:54.272Z,Tue Aug 25 2026 00:00:00 GMT+0530 (India Standard Time),Supplier,Major,Leakage,t100,t100,t100,100,1,1,t100,Wrong durometer O-ring shipped,Leak on test | Seal compression wrong | Material mix-up | Incoming ID not verified,Replace seals; quarantine remaining boxes,Incoming durometer spot check; barcode part verification,Open,meganamani.t@sfwtechnologies.com,2790a52b-f051-4334-9271-b81cbe8e6856
CAPA-2026-0002,2026-08-26T12:29:09.237Z,Wed Aug 26 2026 00:00:00 GMT+0530 (India Standard Time),Supplier,Major,Nogo answering,XGACP0029MC,Manifold 1638 2653 01 MC,32000125,30,1,3.33,G1.1/4'-11 BSP L.H TPG Nogo answering.,NOGO gauge acceptance due to worn gauge or incorrect gauging method.,Part accepted though NOGO condition existed. | Gauge wear / calibration interval exceeded. | Inspection method not validated for this feature. | No gauge R&R / daily check board at station. | Incoming / in-process gauge control weak.,"Quarantine lot, re-gauge with calibrated master, replace worn NOGO, and retrain inspectors.","Daily gauge check board, calibration recall system, and revised inspection WI.",Open,meganamani.t@sfwtechnologies.com,2790a52b-f051-4334-9271-b81cbe8e6856
